level_word,n_brokers,pct_brokers
state,609,14.475873544093178
status,599,14.238174471119562
1,428,10.17352032327074
config,425,10.102210601378655
Topic,398,9.460423104349893
event,398,9.460423104349893
ActiveMQ,395,9.389113382457808
$SYS,395,9.389113382457808
Advisory,395,9.389113382457808
Consumer,393,9.341573567863085
#,390,9.270263845971
device,381,9.056334680294746
MasterBroker,375,8.913715236510578
gateway,334,7.939149037318755
Connection,316,7.511290705966247
2,295,7.012122652721654
command,290,6.893273116234846
LWT,275,6.536724506774424
up,273,6.4891846921797
sensor,268,6.370335155692893
sensors,266,6.322795341098169
stats,265,6.299025433800808
conn,251,5.966246731637747
tele,231,5.490848585690515
3,231,5.490848585690515
0,218,5.1818397908248155
data,217,5.158069883527454
temperature,215,5.110530068932731
discovery,214,5.08676016163537
tasmota,214,5.08676016163537
