root,n_brokers,pct_brokers
ActiveMQ,395,9.389113382457808
gateway,257,6.108866175421916
tasmota,211,5.015450439743285
tele,210,4.9916805324459235
application,205,4.872830995959116
homeassistant,191,4.540052293796054
MECO,175,4.159733777038269
test,114,2.7097694318992156
cmnd,101,2.4007606370335157
zigbee2mqtt,95,2.2581411932493465
stat,88,2.0917518421678154
device,83,1.9729023056810078
sys,82,1.9491323983836464
uC_RilduC_MainServer,60,1.4261944378416924
uC_MainServeruC_JavaServer,60,1.4261944378416924
uC_MainServeruC_WebServer,60,1.4261944378416924
home,60,1.4261944378416924
uC_MainServeruC_Rild,59,1.4024245305443308
shellies,59,1.4024245305443308
uC_MainServeruC_JavaApp,58,1.3786546232469694
eu868,50,1.188495364868077
abc,47,1.1171856429759923
sensor,46,1.093415735678631
v1,46,1.093415735678631
devices,43,1.0221060137865463
domoticz,43,1.0221060137865463
teslamate,40,0.9507962918944616
network,40,0.9507962918944616
topic,36,0.8557166627050155
gw,33,0.7844069408129308
